Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;07.08.09;Wolfsburg;Stuttgart;2;0;H;13;14;7;4;0;0;0;0
D1;08.08.09;Dortmund;FC Koln;1;0;H;24;7;11;0;0;1;0;0
D1;08.08.09;Hertha;Hannover;1;0;H;10;15;4;3;3;2;0;0
D1;08.08.09;Hoffenheim;Bayern Munich;1;1;D;9;9;1;3;0;2;0;0
D1;08.08.09;Mainz;Leverkusen;2;2;D;8;13;4;7;1;2;0;0
D1;08.08.09;Nurnberg;Schalke 04;1;2;A;14;9;3;5;2;1;0;0
D1;08.08.09;Werder Bremen;Ein Frankfurt;2;3;A;22;15;10;8;1;2;1;0
D1;09.08.09;Bochum;M'gladbach;3;3;D;28;10;8;7;3;1;0;1
D1;09.08.09;Freiburg;Hamburg;1;1;D;17;14;6;3;2;1;0;0
D1;15.08.09;Bayern Munich;Werder Bremen;1;1;D;9;10;4;1;1;0;0;0
D1;15.08.09;Ein Frankfurt;Nurnberg;1;1;D;12;21;6;6;1;1;0;0
D1;15.08.09;FC Koln;Wolfsburg;1;3;A;13;20;6;9;1;0;0;0
D1;15.08.09;Hamburg;Dortmund;4;1;H;18;12;9;4;0;1;0;0
D1;15.08.09;Hannover;Mainz;1;1;D;13;8;6;3;0;2;0;0
D1;15.08.09;Leverkusen;Hoffenheim;1;0;H;14;3;5;2;3;2;0;0
D1;15.08.09;Stuttgart;Freiburg;4;2;H;13;13;5;5;2;3;0;0
D1;16.08.09;M'gladbach;Hertha;2;1;H;20;21;9;6;2;2;0;0
D1;16.08.09;Schalke 04;Bochum;3;0;H;18;11;6;2;1;2;0;0
D1;21.08.09;Hoffenheim;Schalke 04;0;0;D;17;3;3;0;4;4;0;0
D1;22.08.09;Dortmund;Stuttgart;1;1;D;13;16;5;5;2;2;0;0
D1;22.08.09;FC Koln;Ein Frankfurt;0;0;D;15;11;1;2;4;3;0;1
D1;22.08.09;Freiburg;Leverkusen;0;5;A;15;12;1;7;1;2;0;0
D1;22.08.09;Mainz;Bayern Munich;2;1;H;17;19;8;6;0;0;0;0
D1;22.08.09;Nurnberg;Hannover;0;2;A;7;16;0;7;2;2;0;0
D1;23.08.09;Bochum;Hertha;1;0;H;15;9;3;7;1;2;0;0
D1;23.08.09;Werder Bremen;M'gladbach;3;0;H;20;6;10;3;1;3;0;0
D1;23.08.09;Wolfsburg;Hamburg;2;4;A;12;27;5;13;4;2;0;0
D1;28.08.09;M'gladbach;Mainz;2;0;H;17;9;5;2;1;2;0;0
D1;29.08.09;Bayern Munich;Wolfsburg;3;0;H;18;18;6;5;0;0;0;0
D1;29.08.09;Ein Frankfurt;Dortmund;1;1;D;16;14;3;4;1;3;0;0
D1;29.08.09;Hannover;Hoffenheim;0;1;A;13;11;3;4;0;2;0;0
D1;29.08.09;Leverkusen;Bochum;2;1;H;32;5;8;2;2;3;0;0
